,Green,NUMBER_OFFERS_SME,SOCIAL_CLAUSE,ENVIRONMENTAL_CLAUSE,ENVIRONMENTAL_CRITERION,ENVIRONMENTAL_WEIGHT,P_CRITERION_WEIGHT,AWARD_PRICE,CAE_LEGAL_STATUS,CAE_REGION,PROCEDURE_TYPE,CPV,FRAMEWORK_AGREEMENT,ADVERTISING,ID_BOAMP_AWARD,ALLOTMENT,MONTH,Division_type,Division,Offers_other,CAE_SIREN,presence,Quarter,Statut
917949,0,3.0,0,0,0,0.0,30.0,11.639470006295184,722,Pays de la Loire,open,'85312400,1,27.0,23-78482,1,2023_June,S,85,1.0,228500013,1,2023Q2,Département
917950,0,2.0,0,0,0,0.0,30.0,12.100712129872347,717,Pays de la Loire,open,'18300000,0,32.0,23-80922,1,2023_June,F,18,0.0,130010226,1,2023Q2,Etat
917951,0,2.0,0,0,0,0.0,30.0,11.512925464970229,717,Pays de la Loire,open,'18143000,0,32.0,23-80922,1,2023_June,F,18,0.0,130010226,1,2023Q2,Etat
917959,0,3.0,0,0,0,0.0,45.0,13.64827463858836,734,Pays de la Loire,open,'79311200,0,32.0,23-51339,0,2023_April,S,79,0.0,200073260,1,2023Q2,Interco
917977,1,1.0,0,0,1,40.0,100.0,14.14588567343286,721,Pays de la Loire,open,'60000000,0,32.0,23-40442,0,2023_March,S,60,0.0,218502946,1,2023Q1,Commune
917991,0,2.0,0,0,0,0.0,30.0,11.897340704299825,722,Pays de la Loire,open,'72267100,1,33.0,23-65144,1,2023_May,S,72,0.0,228500013,1,2023Q2,Département
917992,0,0.0,0,0,0,0.0,35.0,12.327183471279232,722,Pays de la Loire,open,'72267100,1,33.0,23-65144,1,2023_May,S,72,2.0,228500013,0,2023Q2,Département
918015,0,2.0,0,0,0,0.0,40.0,13.321869758952385,734,Pays de la Loire,open,'50413200,1,31.0,23-63662,0,2023_May,S,50,0.0,200073260,1,2023Q2,Interco
918024,0,2.0,0,0,0,0.0,40.0,13.899162130459885,722,Pays de la Loire,open,'72610000,0,31.0,23-100376,0,2023_July,S,72,2.0,228500013,1,2023Q3,Département
918034,0,4.0,0,0,0,0.0,40.0,10.915088464214607,734,Pays de la Loire,open,'79960000,1,27.0,23-107499,0,2023_July,S,79,0.0,200073260,1,2023Q3,Interco
918035,1,5.0,0,1,1,10.0,33.33333333333333,11.582264943048841,722,Pays de la Loire,open,'63110000,1,31.0,23-107429,0,2023_July,S,63,0.0,228500013,1,2023Q3,Département
918036,1,5.0,0,1,1,10.0,33.33333333333333,11.826637060826783,722,Pays de la Loire,open,'63110000,1,31.0,23-107429,0,2023_July,S,63,0.0,228500013,1,2023Q3,Département
918037,1,5.0,0,1,1,10.0,33.33333333333333,12.017326897738327,722,Pays de la Loire,open,'63110000,1,31.0,23-107429,0,2023_July,S,63,0.0,228500013,1,2023Q3,Département
918042,1,0.0,0,1,1,10.0,66.66666666666666,16.11809565095832,722,Pays de la Loire,open,'44113320,1,37.0,23-43460,0,2023_April,F,44,2.0,228500013,0,2023Q2,Département
918043,0,2.0,0,0,0,0.0,100.0,14.664203159533352,734,Pays de la Loire,open,'34500000,0,40.0,23-108623,0,2023_July,F,34,0.0,200071165,1,2023Q3,Interco
918048,0,1.0,0,0,0,0.0,40.0,12.86099861326992,735,Pays de la Loire,open,'34100000,0,35.0,23-145935,0,2023_October,F,34,1.0,258502962,1,2023Q4,EPL
918072,1,3.0,1,1,1,5.0,36.84210526315789,13.592367006650065,722,Pays de la Loire,open,'39500000,1,31.0,23-181248,1,2023_December,F,39,2.0,228500013,1,2023Q4,Département
918091,0,2.0,0,0,0,0.0,40.0,15.495579644201577,735,Pays de la Loire,open,'90513000,1,56.0,22-129908,0,2022_November,S,90,0.0,258502962,1,2022Q4,EPL
918124,1,0.0,0,1,1,10.0,33.33333333333333,10.584055950889214,734,Pays de la Loire,open,'34144900,0,29.0,23-112517,1,2023_September,F,34,1.0,248500621,0,2023Q3,Interco
918126,1,0.0,0,1,1,10.0,33.33333333333333,9.403252318768144,734,Pays de la Loire,open,'34144900,0,29.0,23-112517,1,2023_September,F,34,1.0,248500621,0,2023Q3,Interco
918129,1,1.0,0,1,1,10.0,33.33333333333333,9.305195902988862,734,Pays de la Loire,open,'16311000,0,29.0,23-112517,1,2023_September,F,16,2.0,248500621,1,2023Q3,Interco
