,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,other_offers,siren,participation
2568,1,0,0,0,0.0,40.0,12.201060103706627,72,70,open,'44610000,0,42.0,22-165737,1,2022_December,Supplies,0.0,227000015,1
2569,1,0,0,1,5.0,35.0,12.611537753638338,73,67,open,'90911200,1,31.0,22-16579,1,2022_February,Services,2.0,180089013,1
2570,0,0,0,1,5.0,35.0,10.596634733096073,73,67,open,'90911200,1,31.0,22-16579,1,2022_February,Services,2.0,180089013,1
2571,1,0,0,0,0.0,80.0,11.297717344674057,54,33,open,'98312000,1,29.0,22-165827,0,2022_December,Services,0.0,487867491,1
2572,1,1,0,0,0.0,70.0,11.27860733496719,73,17,open,'34351100,1,57.0,22-165988,1,2022_December,Supplies,0.0,281700252,1
2573,1,1,0,0,0.0,70.0,11.739609381788004,73,17,open,'34352100,1,57.0,22-165988,1,2022_December,Supplies,0.0,281700252,1
2574,1,0,0,1,10.0,50.0,12.498742259492994,73,69,open,'90911200,1,31.0,22-165997,1,2022_December,Services,0.0,200040590,1
2575,1,0,0,1,10.0,50.0,12.542544882151386,73,69,open,'90911200,1,31.0,22-165997,1,2022_December,Services,0.0,200040590,1
2576,1,0,0,1,10.0,50.0,13.304684934198283,73,69,open,'90911200,1,31.0,22-165997,1,2022_December,Services,0.0,200040590,1
2577,1,0,0,1,10.0,50.0,12.957488734214095,73,69,open,'90911200,1,31.0,22-165997,1,2022_December,Services,0.0,200040590,1
2578,1,0,0,1,10.0,50.0,12.078239274020287,73,69,open,'90911200,1,31.0,22-165997,1,2022_December,Services,0.0,200040590,1
2579,1,0,1,1,5.0,40.0,12.344747040217934,71,93,open,'18815000,1,51.0,22-166008,1,2022_December,Supplies,0.0,120023015,1
2580,1,0,1,1,5.0,40.0,11.049937170618398,71,93,open,'18424000,1,51.0,22-166008,1,2022_December,Supplies,0.0,120023015,1
2581,1,0,1,1,10.0,50.0,11.695247021764184,72,62,open,'18830000,0,44.0,22-166118,1,2022_December,Supplies,0.0,216204271,1
2582,1,0,1,1,10.0,50.0,12.100712129872347,72,62,open,'18110000,0,44.0,22-166118,1,2022_December,Supplies,0.0,216204271,1
2583,1,0,1,1,10.0,50.0,11.55214617812351,72,62,open,'18143000,0,44.0,22-166118,1,2022_December,Supplies,0.0,216204271,1
2584,0,0,0,0,0.0,70.0,12.28796332158094,41,66,open,'09310000,0,44.0,22-166160,0,2022_December,Supplies,1.0,488898768,0
2585,1,0,1,1,20.0,60.0,12.206072645530174,72,62,open,'34111100,0,44.0,22-166183,1,2022_December,Supplies,0.0,216204271,1
2586,1,0,0,0,0.0,50.0,12.89921982609012,72,62,open,'64210000,0,29.0,22-166216,1,2022_December,Services,0.0,216204271,1
2587,1,0,0,0,0.0,40.0,11.94438380291398,72,62,open,'66516000,0,30.0,22-166253,1,2022_December,Services,0.0,216204271,1
2588,1,0,0,0,0.0,40.0,9.207411085803606,72,62,open,'66510000,0,30.0,22-166253,1,2022_December,Services,0.0,216204271,1
2589,1,0,0,0,0.0,40.0,12.871382436367512,72,62,open,'66514110,0,30.0,22-166253,1,2022_December,Services,0.0,216204271,1
2590,1,0,0,0,0.0,40.0,10.213439793633636,72,62,open,'66510000,0,30.0,22-166253,1,2022_December,Services,0.0,216204271,1
2591,1,0,0,0,0.0,100.0,13.267327209936374,73,93,open,'15000000,0,30.0,22-166349,1,2023_April,Supplies,0.0,130006364,1
2592,1,0,0,0,0.0,100.0,13.868903266538842,73,93,open,'15000000,0,30.0,22-166349,1,2023_April,Supplies,0.0,130006364,1
2593,1,0,0,0,0.0,100.0,13.69142541442672,73,93,open,'15000000,0,30.0,22-166349,1,2023_April,Supplies,0.0,130006364,1
2594,0,0,0,0,0.0,100.0,14.345896426713049,73,93,open,'15000000,0,30.0,22-166349,1,2023_April,Supplies,1.0,130006364,1
2595,1,0,0,0,0.0,30.0,13.76812435777602,73,3,open,'39234000,1,29.0,22-166350,0,2022_December,Supplies,0.0,250300050,1
2596,1,0,0,0,0.0,30.0,13.812230183414131,73,3,open,'39234000,1,29.0,22-166350,0,2022_December,Supplies,0.0,250300050,1
2597,1,0,0,0,0.0,30.0,13.836322479673017,73,3,open,'39234000,1,29.0,22-166350,0,2022_December,Supplies,0.0,250300050,1
2598,0,0,0,0,0.0,40.0,15.902669245726017,73,56,open,'90500000,1,31.0,22-166509,0,2022_December,Services,1.0,200043123,0
2599,1,1,1,1,60.0,40.0,13.815231919148085,72,93,open,'77310000,0,34.0,22-166528,1,2022_December,Services,0.0,219300712,1
2600,1,1,1,1,60.0,40.0,13.731304304751754,72,93,open,'77310000,0,34.0,22-166528,1,2022_December,Services,0.0,219300712,1
2601,1,1,1,1,60.0,40.0,13.623387458607624,72,93,open,'77310000,0,34.0,22-166528,1,2022_December,Services,0.0,219300712,1
2602,1,1,0,0,0.0,60.0,13.232228930126942,72,85,open,'79714000,0,26.0,22-166602,0,2022_December,Services,1.0,228500013,1
2603,1,0,0,1,10.0,40.0,12.62386150332717,73,85,open,'90520000,0,32.0,22-166751,1,2023_January,Services,0.0,258502962,1
2604,0,0,0,1,10.0,40.0,12.459085630446662,73,85,open,'90520000,0,32.0,22-166751,1,2023_January,Services,1.0,258502962,0
2605,0,0,0,1,10.0,40.0,12.604016204239487,73,85,open,'90520000,0,32.0,22-166751,1,2023_January,Services,1.0,258502962,0
2606,1,0,0,1,10.0,60.0,11.87315608001153,71,75,open,'15000000,1,94.0,22-166752,0,2022_December,Supplies,0.0,110000023,1
2607,0,0,0,1,5.0,35.0,14.77102200299171,71,75,open,'63500000,1,37.0,22-166757,0,2022_December,Services,1.0,110000023,1
2608,0,0,0,0,0.0,50.0,12.91700325932262,73,91,open,'66512000,0,29.0,22-166783,0,2022_December,Services,2.0,269102273,0
2609,1,0,0,0,0.0,100.0,13.81691057747944,73,30,restricted,'71200000,0,37.0,22-166809,0,2022_December,Services,0.0,200034379,1
2610,0,0,0,0,0.0,50.0,12.100712129872347,72,34,open,'55240000,1,25.0,22-166854,1,2022_December,Services,0.0,213403017,1
2611,0,0,0,0,0.0,50.0,10.308952660644293,72,34,open,'55240000,1,25.0,22-166854,1,2022_December,Services,0.0,213403017,1
2612,0,0,0,0,0.0,50.0,10.308952660644293,72,34,open,'55240000,1,25.0,22-166854,1,2022_December,Services,0.0,213403017,1
2613,1,0,1,1,10.0,35.0,11.61620381442373,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2614,1,0,1,1,10.0,35.0,10.165236242961404,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2615,1,0,1,1,10.0,35.0,7.949020900797694,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2616,1,0,1,1,10.0,35.0,10.310418252805905,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2617,1,0,1,1,10.0,35.0,10.949191207771058,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2618,1,0,1,1,10.0,35.0,12.673322486579288,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2619,1,0,1,1,10.0,35.0,9.925640357177262,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2620,1,0,1,1,10.0,35.0,9.603408959747796,73,59,open,'18511100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2621,1,0,1,1,10.0,35.0,8.886270902072013,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2622,1,0,1,1,10.0,35.0,9.32402613638,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2623,1,0,1,1,10.0,35.0,8.38022733634308,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2624,1,0,1,1,10.0,35.0,8.290041618704489,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2625,1,0,1,1,10.0,35.0,8.68270762989381,73,59,open,'15811100,1,30.0,22-167025,1,2022_December,Supplies,0.0,185911500,1
2626,1,0,0,0,0.0,70.0,8.30979995019326,73,13,open,'71356100,1,33.0,22-167115,1,2022_December,Services,0.0,200054807,1
2627,0,0,0,0,0.0,45.0,11.908838429604774,72,2,open,'79980000,1,50.0,22-167189,1,2022_December,Services,1.0,220200026,1
2628,0,0,0,0,0.0,45.0,9.713960095491844,72,2,open,'79980000,1,50.0,22-167189,1,2022_December,Services,1.0,220200026,1
2629,0,0,1,1,40.0,20.0,16.523560759066484,72,29,open,'44113320,1,34.0,22-167193,0,2022_December,Supplies,4.0,222900011,0
2630,1,1,1,1,5.0,55.0,14.685146903271406,73,41,open,'90511200,1,46.0,22-167209,0,2022_December,Services,0.0,200030385,1
2631,1,0,0,0,0.0,40.0,15.13978535603945,72,74,open,'34928400,1,44.0,22-167244,0,2022_December,Supplies,0.0,227400017,1
2632,1,0,0,0,0.0,40.0,9.676586952344206,73,51,open,'42122500,0,47.0,22-167304,1,2022_December,Supplies,0.0,195112966,1
2633,1,0,1,0,0.0,70.0,11.074730532239146,73,44,open,'50710000,0,44.0,22-167308,1,2022_December,Services,0.0,184401321,1
2634,1,0,1,0,0.0,70.0,10.55581273857582,73,44,open,'50710000,0,44.0,22-167308,1,2022_December,Services,0.0,184401321,1
2635,1,0,0,0,0.0,10.0,13.592367006650065,73,51,open,'31516000,1,50.0,22-167370,1,2022_December,Supplies,0.0,195112966,1
2636,1,0,0,0,0.0,10.0,14.22097566607244,73,51,open,'31712348,1,50.0,22-167370,1,2022_December,Supplies,0.0,195112966,1
2637,1,0,0,0,0.0,60.0,13.75894020647588,72,66,open,'90620000,0,29.0,22-167400,0,2022_December,Services,0.0,216601245,1
2638,0,0,0,0,0.0,40.0,11.28386318247242,73,13,open,'33192000,0,38.0,22-167486,1,2022_December,Supplies,2.0,130015332,1
2639,1,0,0,0,0.0,40.0,10.944241182249897,73,13,open,'33192000,0,38.0,22-167486,1,2022_December,Supplies,2.0,130015332,1
2640,0,0,0,0,0.0,40.0,10.246885749228074,73,13,open,'33192000,0,38.0,22-167486,1,2022_December,Supplies,2.0,130015332,1
2641,1,0,1,0,0.0,40.0,8.306472160100585,73,59,open,'92111260,1,29.0,22-167549,1,2022_December,Services,0.0,185911781,1
2642,1,0,0,0,0.0,30.0,12.206072645530174,73,51,open,'32232000,1,40.0,22-167552,0,2022_December,Supplies,0.0,195112966,1
2643,1,0,0,0,0.0,30.0,12.506454977185186,72,33,open,'41110000,1,64.0,22-167609,0,2022_December,Supplies,0.0,223300013,1
2644,1,1,1,0,0.0,60.0,11.627426944428096,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,0.0,180092264,1
2645,1,1,1,0,0.0,60.0,10.958919164400902,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,0.0,180092264,1
2646,1,1,1,0,0.0,60.0,11.451171862344726,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,0.0,180092264,1
2647,0,1,1,0,0.0,60.0,11.096863204865196,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,1.0,180092264,1
2648,1,1,1,0,0.0,60.0,10.173169592041884,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,1.0,180092264,1
2649,1,1,1,0,0.0,60.0,11.300128205710164,73,75,open,'90919200,0,33.0,22-16764,1,2022_February,Services,1.0,180092264,1
2650,0,0,0,0,0.0,40.0,13.16158409055761,72,13,open,'64200000,1,55.0,22-167662,1,2022_December,Services,4.0,211300017,1
2651,0,0,0,0,0.0,40.0,12.89921982609012,72,13,open,'64200000,1,55.0,22-167662,1,2022_December,Services,4.0,211300017,1
2652,1,0,0,0,0.0,40.0,13.122363377404328,72,62,open,'72212517,1,35.0,22-167722,0,2022_December,Services,0.0,226200012,1
2653,1,0,0,0,0.0,40.0,13.69501507319162,72,60,open,'44211100,0,57.0,22-167723,0,2022_December,Supplies,2.0,216001743,1
2654,1,0,0,0,0.0,40.0,12.588156530800426,73,69,open,'90470000,1,33.0,22-167808,0,2022_December,Services,0.0,246900765,1
2655,1,1,0,0,0.0,40.0,15.424948470398377,73,75,negotiated,'72600000,1,30.0,22-167813,0,2023_January,Services,7.0,180036048,1
2656,0,0,0,0,0.0,55.0,18.722463365501827,73,1,open,'79723000,1,98.0,22-16783,0,2022_February,Services,2.0,257401620,0
2657,1,0,0,0,0.0,40.0,11.17028021444316,72,13,open,'92521210,0,74.0,22-167846,1,2022_December,Services,0.0,211300017,1
2658,1,0,0,0,0.0,40.0,10.679826323982835,72,13,open,'92521210,0,74.0,22-167846,1,2022_December,Services,0.0,211300017,1
2659,1,0,0,0,0.0,40.0,11.207771646606409,72,13,open,'92521210,0,74.0,22-167846,1,2022_December,Services,0.0,211300017,1
2660,0,0,0,0,0.0,40.0,13.304684934198283,73,75,open,'71241000,1,29.0,22-167860,0,2023_January,Services,6.0,180036048,1
2661,1,0,0,0,0.0,60.0,12.036369145171836,73,84,open,'66515000,0,30.0,22-167878,1,2022_December,Services,0.0,248400236,1
2662,1,0,1,0,0.0,30.0,12.820582380573049,73,17,open,'71311300,0,65.0,22-167902,0,2022_December,Services,2.0,241700624,1
2663,0,0,0,0,0.0,40.0,12.89921982609012,41,92,open,'71356100,1,29.0,22-167988,1,2022_December,Services,1.0,451576656,1
2664,0,0,0,0,0.0,40.0,12.301382825334498,73,14,open,'15894200,1,29.0,22-168056,0,2022_December,Supplies,1.0,191412576,0
2665,0,0,0,0,0.0,35.0,13.704578997256991,73,60,open,'30121100,0,29.0,22-168101,0,2022_December,Supplies,0.0,200068047,1
2666,0,0,0,0,0.0,40.0,11.512925464970229,73,2,open,'30230000,1,30.0,22-168133,0,2022_December,Supplies,6.0,240200493,0
