,green,offers_sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,region,cpv,framework,advertising,id_contract,allotment,month,contract_type,cpv_division,offers_other,authority_siren,participation,quarter,status
9398,1,6.0,0,1,1,20.0,87.5,12.388394202324127,Occitanie,'03111000,1,33.0,23-128171,0,2023_September,F,3,0.0,216504407,1,2023Q3,municipality
9399,1,6.0,0,1,1,20.0,87.5,12.388394202324127,Occitanie,'03111000,1,33.0,23-128171,0,2023_September,F,3,0.0,216504407,1,2023Q3,municipality
9400,1,6.0,0,1,1,20.0,87.5,12.388394202324127,Occitanie,'03111000,1,33.0,23-128171,0,2023_September,F,3,0.0,216504407,1,2023Q3,municipality
9401,1,6.0,0,1,1,20.0,87.5,10.404262840448617,Occitanie,'24450000,1,32.0,23-131439,1,2023_September,F,24,0.0,216504407,1,2023Q3,municipality
9402,1,6.0,0,1,1,20.0,87.5,10.23995978915734,Occitanie,'24400000,1,32.0,23-131439,1,2023_September,F,24,0.0,216504407,1,2023Q3,municipality
9403,1,6.0,0,1,1,20.0,87.5,10.491274217438248,Occitanie,'24400000,1,32.0,23-131439,1,2023_September,F,24,0.0,216504407,1,2023Q3,municipality
9404,1,5.0,0,1,1,20.0,87.5,10.491274217438248,Occitanie,'24400000,1,32.0,23-131439,1,2023_September,F,24,0.0,216504407,1,2023Q3,municipality
9405,1,6.0,0,1,1,20.0,87.5,10.491274217438248,Occitanie,'24450000,1,32.0,23-131439,1,2023_September,F,24,0.0,216504407,1,2023Q3,municipality
9406,1,7.0,0,1,1,20.0,87.5,10.085809109330082,Occitanie,'03111000,1,32.0,23-131439,1,2023_September,F,3,0.0,216504407,1,2023Q3,municipality
9407,0,2.0,0,0,0,0.0,40.0,11.512925464970229,Occitanie,'18100000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9408,0,2.0,0,0,0,0.0,40.0,11.512925464970229,Occitanie,'18100000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9409,0,2.0,0,0,0,0.0,40.0,11.695247021764184,Occitanie,'18810000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9410,0,2.0,0,0,0,0.0,40.0,11.84939770159144,Occitanie,'18100000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9411,0,2.0,0,0,0,0.0,60.0,11.982929094215963,Occitanie,'18420000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9412,0,1.0,0,0,0,0.0,40.0,10.596634733096073,Occitanie,'18815000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9413,0,3.0,0,0,0,0.0,55.00000000000001,11.512925464970229,Occitanie,'35113400,1,30.0,22-40281,1,2022_March,F,35,2.0,216504407,1,2022Q1,municipality
9414,0,4.0,0,0,0,0.0,80.0,11.512925464970229,Occitanie,'18143000,1,30.0,22-40281,1,2022_March,F,18,2.0,216504407,1,2022Q1,municipality
9415,0,4.0,0,0,0,0.0,55.00000000000001,11.184421397998191,Occitanie,'18100000,1,30.0,22-40281,1,2022_March,F,18,1.0,216504407,1,2022Q1,municipality
9416,0,5.0,0,0,0,0.0,55.00000000000001,11.512925464970229,Occitanie,'18830000,1,30.0,22-40281,1,2022_March,F,18,1.0,216504407,1,2022Q1,municipality
9417,0,2.0,0,0,0,0.0,40.0,11.127262984158245,Occitanie,'18100000,1,30.0,22-40281,1,2022_March,F,18,0.0,216504407,1,2022Q1,municipality
9418,0,4.0,0,0,0,0.0,100.0,13.081541382884074,Occitanie,'34330000,1,40.0,22-36730,1,2022_March,F,34,0.0,216504407,1,2022Q1,municipality
9419,0,2.0,0,0,0,0.0,100.0,12.89921982609012,Occitanie,'34330000,1,40.0,22-36730,1,2022_March,F,34,0.0,216504407,1,2022Q1,municipality
9420,0,6.0,0,0,0,0.0,100.0,13.081541382884074,Occitanie,'34330000,1,40.0,22-36730,1,2022_March,F,34,0.0,216504407,1,2022Q1,municipality
9421,0,1.0,0,0,0,0.0,100.0,13.081541382884074,Occitanie,'34330000,1,31.0,22-85427,1,2022_June,F,34,0.0,216504407,1,2022Q2,municipality
9422,0,1.0,0,0,0,0.0,100.0,13.081541382884074,Occitanie,'34330000,1,31.0,22-85427,1,2022_June,F,34,0.0,216504407,1,2022Q2,municipality
9423,0,1.0,0,0,0,0.0,80.0,12.542544882151386,Occitanie,'44110000,1,36.0,23-7431,0,2023_January,F,44,1.0,216504407,1,2023Q1,municipality
9424,1,2.0,0,1,0,0.0,40.0,12.676076274775909,Occitanie,'79810000,1,33.0,22-40396,1,2022_March,S,79,0.0,216504407,1,2022Q1,municipality
9425,1,3.0,0,1,0,0.0,40.0,10.596634733096073,Occitanie,'79810000,1,33.0,22-40396,1,2022_March,S,79,0.0,216504407,1,2022Q1,municipality
9426,1,5.0,0,1,0,0.0,40.0,10.373491181781864,Occitanie,'79810000,1,33.0,22-40396,1,2022_March,S,79,0.0,216504407,1,2022Q1,municipality
9427,0,2.0,0,0,0,0.0,40.0,11.951180395901384,Occitanie,'72212220,1,28.0,22-14397,0,2022_January,S,72,0.0,216504407,1,2022Q1,municipality
9428,0,2.0,0,0,0,0.0,70.0,11.84939770159144,Occitanie,'34144431,1,32.0,23-15460,1,2023_February,F,34,0.0,216504407,1,2023Q1,municipality
9429,0,2.0,0,0,0,0.0,70.0,11.84939770159144,Occitanie,'34144431,1,32.0,23-15460,1,2023_February,F,34,0.0,216504407,1,2023Q1,municipality
9430,0,1.0,0,0,0,0.0,70.0,11.84939770159144,Occitanie,'43230000,1,32.0,23-15460,1,2023_February,F,43,0.0,216504407,1,2023Q1,municipality
9431,1,3.0,0,1,1,5.0,57.89473684210527,11.84939770159144,Occitanie,'38652120,1,39.0,22-154170,0,2022_November,F,38,2.0,216504407,1,2022Q4,municipality
9432,0,1.0,0,0,0,0.0,60.0,12.89921982609012,Occitanie,'77310000,1,32.0,23-126118,1,2023_September,S,77,0.0,216504407,1,2023Q3,municipality
9433,0,1.0,0,0,0,0.0,60.0,12.206072645530174,Occitanie,'77310000,1,32.0,23-126118,1,2023_September,S,77,0.0,216504407,1,2023Q3,municipality
9434,0,1.0,0,0,0,0.0,40.0,11.979799201207037,Occitanie,'34142000,0,52.0,23-146752,0,2023_October,F,34,0.0,256500869,1,2023Q4,specialized
9435,1,1.0,0,1,0,0.0,55.00000000000001,13.702503101057903,Occitanie,'60130000,0,31.0,23-3350,0,2023_January,S,60,0.0,246500482,1,2023Q1,municipal_federation
9436,1,3.0,0,1,1,10.0,66.66666666666666,13.304684934198283,Occitanie,'16311100,1,49.0,23-30331,1,2023_March,F,16,0.0,216504407,1,2023Q1,municipality
9437,1,2.0,0,1,1,10.0,66.66666666666666,11.982929094215963,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9438,1,2.0,0,1,1,10.0,66.66666666666666,10.596634733096073,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9439,1,2.0,0,1,1,10.0,66.66666666666666,12.676076274775909,Occitanie,'16311100,1,49.0,23-30331,1,2023_March,F,16,0.0,216504407,1,2023Q1,municipality
9440,1,2.0,0,1,1,10.0,66.66666666666666,11.695247021764184,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9441,1,2.0,0,1,1,10.0,66.66666666666666,10.373491181781864,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9442,1,1.0,0,1,1,10.0,66.66666666666666,11.982929094215963,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9443,1,2.0,0,1,1,10.0,66.66666666666666,11.002099841204238,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9444,1,4.0,0,1,1,10.0,66.66666666666666,11.982929094215963,Occitanie,'42999100,1,49.0,23-30331,1,2023_March,F,42,0.0,216504407,1,2023Q1,municipality
9445,1,1.0,0,1,1,10.0,66.66666666666666,11.002099841204238,Occitanie,'43325100,1,49.0,23-30331,1,2023_March,F,43,0.0,216504407,1,2023Q1,municipality
9446,1,2.0,0,1,1,10.0,66.66666666666666,12.388394202324127,Occitanie,'42924740,1,49.0,23-30331,1,2023_March,F,42,1.0,216504407,1,2023Q1,municipality
9447,1,1.0,0,1,1,10.0,66.66666666666666,12.793859310432293,Occitanie,'39711300,1,49.0,23-30331,1,2023_March,F,39,0.0,216504407,1,2023Q1,municipality
9448,0,3.0,0,0,0,0.0,40.0,13.081541382884074,Occitanie,'77341000,1,32.0,23-26903,1,2023_March,S,77,0.0,216504407,1,2023Q1,municipality
9449,0,3.0,0,0,0,0.0,40.0,12.388394202324127,Occitanie,'77211400,1,32.0,23-26903,1,2023_March,S,77,0.0,216504407,1,2023Q1,municipality
9450,1,2.0,0,1,1,20.0,75.0,8.294049640102028,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,1.0,216504407,1,2023Q1,municipality
9451,1,1.0,0,1,1,20.0,75.0,9.546812608597396,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,1.0,216504407,1,2023Q1,municipality
9452,1,3.0,0,1,1,20.0,75.0,10.491274217438248,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,1.0,216504407,1,2023Q1,municipality
9453,1,6.0,0,1,1,20.0,75.0,10.23995978915734,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,0.0,216504407,1,2023Q1,municipality
9454,1,1.0,0,1,1,20.0,75.0,8.294049640102028,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,1.0,216504407,1,2023Q1,municipality
9455,1,1.0,0,1,1,20.0,75.0,7.600902459542082,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,0.0,216504407,1,2023Q1,municipality
9456,1,3.0,0,1,1,20.0,75.0,11.84939770159144,Occitanie,'03100000,1,33.0,23-30332,1,2023_March,F,3,0.0,216504407,1,2023Q1,municipality
9457,1,4.0,0,1,0,0.0,40.0,11.289781913656018,Occitanie,'18100000,1,31.0,23-101381,0,2023_July,F,18,0.0,216504407,1,2023Q3,municipality
9458,1,4.0,0,1,0,0.0,70.0,12.611537753638338,Grand Est,'45342000,0,31.0,22-130812,1,2022_October,T,45,2.0,200052264,1,2022Q4,region
9459,1,3.0,0,1,0,0.0,70.0,12.89921982609012,Grand Est,'45111100,0,31.0,22-130812,1,2022_October,T,45,3.0,200052264,1,2022Q4,region
9460,1,2.0,0,1,0,0.0,70.0,13.42984807715229,Grand Est,'45261100,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9461,1,1.0,0,1,0,0.0,70.0,12.301382825334498,Grand Est,'45261100,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9462,1,1.0,0,1,0,0.0,70.0,12.301382825334498,Grand Est,'45421000,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9463,1,1.0,0,1,0,0.0,70.0,12.301382825334498,Grand Est,'45421000,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9464,1,1.0,0,1,0,0.0,70.0,11.002099841204238,Grand Est,'45442100,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9465,1,1.0,0,1,0,0.0,70.0,11.002099841204238,Grand Est,'45432111,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9466,1,0.0,0,1,0,0.0,70.0,12.994530005894443,Grand Est,'45331000,0,31.0,22-130812,1,2022_October,T,45,3.0,200052264,0,2022Q4,region
9467,1,2.0,0,1,0,0.0,70.0,13.16158409055761,Grand Est,'45311200,0,31.0,22-130812,1,2022_October,T,45,2.0,200052264,1,2022Q4,region
9468,1,2.0,0,1,0,0.0,70.0,13.42984807715229,Grand Est,'45261410,0,31.0,22-130812,1,2022_October,T,45,0.0,200052264,1,2022Q4,region
9469,1,7.0,0,1,0,0.0,70.0,12.542544882151386,Grand Est,'45262660,0,31.0,22-130812,1,2022_October,T,45,3.0,200052264,1,2022Q4,region
9470,0,0.0,0,0,0,0.0,50.0,11.689051703684571,Grand Est,'31682000,0,28.0,23-131371,0,2023_September,F,31,2.0,210801734,0,2023Q3,municipality
9471,0,0.0,0,0,0,0.0,5.0,13.815510557964274,Grand Est,'44161110,1,26.0,22-103293,0,2022_July,F,44,3.0,200062388,0,2022Q3,municipality
9472,0,5.0,0,0,0,0.0,50.0,13.652991628466498,Grand Est,'71222100,1,47.0,22-36520,0,2022_March,S,71,0.0,200047389,1,2022Q1,municipal_federation
9473,1,2.0,0,1,1,20.0,50.0,13.081541382884074,Grand Est,'60172000,1,33.0,22-111652,0,2022_August,S,60,0.0,200043156,1,2022Q3,municipal_federation
9474,0,0.0,0,0,0,0.0,40.0,11.10187503796772,Grand Est,'66516000,0,32.0,23-18747,1,2023_February,S,66,2.0,240800862,0,2023Q1,municipal_federation
9475,0,0.0,0,0,0,0.0,40.0,8.064636475774222,Grand Est,'66516000,0,32.0,23-18747,1,2023_February,S,66,1.0,240800862,0,2023Q1,municipal_federation
9476,0,0.0,0,0,0,0.0,40.0,10.154246270883313,Grand Est,'66514110,0,32.0,23-18747,1,2023_February,S,66,3.0,240800862,0,2023Q1,municipal_federation
9477,0,0.0,0,0,0,0.0,40.0,11.147903639680097,Grand Est,'66515000,0,32.0,23-18747,1,2023_February,S,66,1.0,240800862,0,2023Q1,municipal_federation
9478,0,0.0,0,0,0,0.0,40.0,12.918078380438658,Grand Est,'66512000,0,32.0,23-18747,1,2023_February,S,66,2.0,240800862,0,2023Q1,municipal_federation
9479,0,0.0,0,0,0,0.0,40.0,13.017002861746503,Grand Est,'55523100,1,19.0,23-114354,0,2023_August,S,55,2.0,200062388,0,2023Q3,municipality
9480,0,0.0,0,0,0,0.0,40.0,9.818855161695424,Grand Est,'66510000,0,34.0,23-155641,1,2023_November,S,66,2.0,210803722,0,2023Q4,municipality
9481,0,1.0,0,0,0,0.0,60.0,11.695247021764184,Grand Est,'60130000,0,27.0,22-131827,1,2022_October,S,60,0.0,240800821,1,2022Q4,municipal_federation
9482,0,1.0,0,0,0,0.0,60.0,10.714417768752456,Grand Est,'60130000,0,27.0,22-131827,1,2022_October,S,60,0.0,240800821,1,2022Q4,municipal_federation
9483,0,1.0,0,0,0,0.0,60.0,11.695247021764184,Grand Est,'60130000,0,27.0,22-131827,1,2022_October,S,60,1.0,240800821,1,2022Q4,municipal_federation
9484,1,0.0,0,1,0,0.0,60.0,10.819778284410283,Ile-de-France,'85312110,1,18.0,23-161505,0,2023_November,S,85,1.0,180090060,0,2023Q4,specialized
9485,0,1.0,0,0,0,0.0,30.0,13.122363377404328,Ile-de-France,'60172000,1,32.0,23-135275,0,2023_September,S,60,0.0,180090060,1,2023Q3,specialized
9486,0,1.0,0,0,0,0.0,60.0,12.198242066414986,Bourgogne-Franche-Comté,'90500000,1,29.0,22-27913,0,2022_February,S,90,1.0,200067700,1,2022Q1,municipal_federation
9487,0,1.0,0,0,0,0.0,60.0,12.93795965440605,Bourgogne-Franche-Comté,'43411000,0,29.0,23-115958,0,2023_August,F,43,0.0,255801185,1,2023Q3,specialized
9488,0,3.0,0,0,0,0.0,10.0,9.46662387835832,Provence-Alpes-Côte d’Azur,'22113000,1,31.0,22-23300,1,2022_February,F,22,0.0,220500011,1,2022Q1,departement
9489,0,2.0,0,0,0,0.0,10.0,10.352331383946238,Provence-Alpes-Côte d’Azur,'22113000,1,31.0,22-23300,1,2022_February,F,22,0.0,220500011,1,2022Q1,departement
9490,0,2.0,0,0,0,0.0,10.0,9.92378025580389,Provence-Alpes-Côte d’Azur,'22113000,1,31.0,22-23300,1,2022_February,F,22,0.0,220500011,1,2022Q1,departement
9491,0,3.0,0,0,0,0.0,10.0,10.497289146981094,Provence-Alpes-Côte d’Azur,'22113000,1,31.0,22-23300,1,2022_February,F,22,0.0,220500011,1,2022Q1,departement
9492,0,3.0,0,0,0,0.0,10.0,9.70381635740706,Provence-Alpes-Côte d’Azur,'22113000,1,31.0,22-23300,1,2022_February,F,22,0.0,220500011,1,2022Q1,departement
9493,0,0.0,0,0,0,0.0,60.0,15.6718085483299,Provence-Alpes-Côte d’Azur,'45233221,1,32.0,22-112611,0,2022_August,T,45,2.0,200045789,0,2022Q3,specialized
9494,0,0.0,0,0,0,0.0,60.0,16.077273656438063,Provence-Alpes-Côte d’Azur,'34928100,1,32.0,22-112973,0,2022_August,F,34,3.0,200045789,0,2022Q3,specialized
9495,1,1.0,0,0,1,15.0,70.58823529411765,11.911010070718964,Provence-Alpes-Côte d’Azur,'90511000,1,37.0,23-146886,1,2023_October,S,90,1.0,240500439,1,2023Q4,municipal_federation
