,sme,social_clause,g_clause,g_criterion,g_weight,price_weight,award_price,legal_status,departement,procedure_type,CPV,framework,advertising,id_contract,allotment,month,contract_type,sme_ratio,siren
3049,1,0,1,1,5.0,30.0,15.541842221869874,74,69,open,'33000000,1,54.0,23-142108,1,2023_October,Supplies,0.6666666666666666,130002223
3050,0,0,1,1,5.0,30.0,15.123843377614453,74,69,open,'33000000,1,54.0,23-142108,1,2023_October,Supplies,0.6666666666666666,130002223
3051,1,0,1,1,5.0,50.0,15.123843377614453,74,69,open,'33000000,1,54.0,23-142108,1,2023_October,Supplies,0.5,130002223
3052,0,0,0,1,10.0,40.0,13.997832114758229,73,52,open,'34928480,1,31.0,23-142517,0,2023_October,Supplies,0.0,200044170
3053,0,0,1,0,0.0,40.0,15.131310027272106,74,69,open,'33168100,1,34.0,23-142889,1,2023_October,Supplies,0.4,130002223
3054,1,0,1,0,0.0,40.0,12.857746577883544,74,69,open,'33168100,1,34.0,23-142889,1,2023_October,Supplies,0.5,130002223
3055,1,0,1,0,0.0,40.0,14.033320390254923,74,69,open,'33168100,1,34.0,23-142889,1,2023_October,Supplies,0.625,130002223
3056,1,0,1,0,0.0,40.0,12.009144936346855,74,69,open,'33168100,1,34.0,23-142889,1,2023_October,Supplies,0.5,130002223
3057,0,0,0,0,0.0,40.0,13.592367006650065,72,32,open,'55510000,0,26.0,23-142915,0,2023_October,Services,0.0,213201072
3058,0,0,1,0,0.0,50.0,12.69495936177741,73,68,open,'60130000,0,51.0,23-142986,0,2023_October,Services,0.0,200036465
3059,0,0,0,0,0.0,40.0,14.914122846632385,72,69,open,'32323500,1,29.0,23-143335,0,2023_October,Supplies,0.0,216900290
3060,1,0,0,0,0.0,50.0,12.542544882151386,72,69,open,'44115210,1,30.0,23-143336,0,2023_October,Supplies,0.25,216900290
3061,0,0,1,0,0.0,100.0,17.856003456487453,73,14,negotiated,'65120000,0,105.0,23-143498,0,2023_October,Services,0.0,241400415
3062,0,0,0,0,0.0,15.0,13.468785944878707,72,62,open,'66133000,0,46.0,23-1436,0,2023_January,Services,0.0,216208959
3063,0,0,1,1,10.0,50.0,11.982929094215963,72,92,open,'44511000,1,33.0,23-143796,1,2023_October,Supplies,0.1666666666666666,229200506
3064,0,0,1,1,10.0,50.0,11.982929094215963,72,92,open,'31681410,1,33.0,23-143796,1,2023_October,Supplies,0.5,229200506
3065,1,0,1,1,10.0,50.0,11.512925464970229,72,92,open,'44111400,1,33.0,23-143796,1,2023_October,Supplies,0.6666666666666666,229200506
3066,0,0,1,1,5.0,45.0,12.519203142435542,73,31,open,'34100000,0,36.0,23-143813,0,2023_October,Supplies,0.5,243100344
3067,0,0,0,0,0.0,40.0,11.037981653092004,73,52,open,'71351500,0,25.0,23-14416,1,2023_February,Services,0.5,200044170
3068,0,0,0,0,0.0,40.0,11.30231566203637,73,52,open,'71351500,0,25.0,23-14416,1,2023_February,Services,0.5,200044170
3069,0,0,0,0,0.0,40.0,10.31001875882629,73,52,open,'71351500,0,25.0,23-14416,1,2023_February,Services,0.5,200044170
3070,0,0,0,0,0.0,100.0,13.05468392871419,73,14,open,'09134000,1,29.0,23-144426,1,2023_October,Supplies,0.0,200065589
3071,0,0,0,0,0.0,100.0,10.52158785877316,73,14,open,'09134000,1,29.0,23-144426,1,2023_October,Supplies,0.0,200065589
3072,0,0,0,0,0.0,100.0,12.357626528024436,72,72,open,'64200000,0,32.0,23-144487,1,2023_October,Services,0.25,227200029
3073,0,0,0,0,0.0,100.0,9.967536891543627,72,72,open,'64200000,0,32.0,23-144487,1,2023_October,Services,0.0,227200029
3074,1,0,0,0,0.0,100.0,12.922076608233048,72,72,open,'64200000,0,32.0,23-144487,1,2023_October,Services,0.6666666666666666,227200029
3075,1,0,0,0,0.0,100.0,10.35951902421498,72,72,open,'64200000,0,32.0,23-144487,1,2023_October,Services,0.3333333333333333,227200029
3076,0,0,0,0,0.0,60.0,12.013700752882718,72,52,open,'31680000,1,31.0,23-144520,1,2023_October,Supplies,0.0,215203233
3077,0,0,0,0,0.0,60.0,11.225243392518449,72,52,open,'31500000,1,31.0,23-144520,1,2023_October,Supplies,0.0,215203233
3078,0,0,0,0,0.0,40.0,12.308177868467329,73,51,open,'34139100,0,32.0,23-144702,1,2023_October,Supplies,0.0,200067684
3079,0,0,0,0,0.0,40.0,12.570021073435404,73,51,open,'44613700,0,32.0,23-144702,1,2023_October,Supplies,0.0,200067684
3080,0,0,1,0,0.0,40.0,11.84653646931041,72,59,open,'66171000,1,32.0,23-14475,0,2023_February,Services,0.0,200053742
3081,0,1,0,0,0.0,40.0,15.856730886823913,72,31,open,'79211000,1,32.0,23-144762,0,2023_October,Services,0.5,200053791
3082,0,0,0,0,0.0,100.0,16.390038052118527,72,73,negotiated,'55321000,0,75.0,23-144996,0,2023_October,Services,0.0,217300656
3083,0,0,0,0,0.0,15.0,12.884683686470506,71,54,open,'66133000,1,32.0,23-14522,0,2023_February,Services,0.0,130011430
3084,0,1,0,1,20.0,40.0,12.676076274775909,72,19,open,'77312000,0,30.0,23-145498,1,2023_October,Services,0.0,211927207
3085,0,1,0,1,20.0,40.0,12.206072645530174,72,19,open,'45111220,0,30.0,23-145498,1,2023_October,Works,0.0,211927207
3086,0,1,0,1,20.0,40.0,11.002099841204238,72,19,open,'77314000,0,30.0,23-145498,1,2023_October,Services,0.0,211927207
3087,0,0,0,0,0.0,50.0,12.468175337328978,72,19,open,'50720000,0,31.0,23-145534,0,2023_October,Services,0.0,211927207
3088,0,1,1,0,0.0,55.0,14.597340368192771,73,42,open,'90512000,0,31.0,23-14557,0,2023_February,Services,0.5,200035731
3089,0,0,0,0,0.0,40.0,14.808762330974558,73,94,open,'32000000,0,38.0,23-145820,0,2023_October,Supplies,0.0,180053027
3090,1,0,0,0,0.0,40.0,12.86099861326992,73,85,open,'34100000,0,35.0,23-145935,0,2023_October,Supplies,0.5,258502962
3091,0,0,0,0,0.0,45.0,10.20942141800908,41,1,open,'66515000,0,49.0,23-14600,1,2023_April,Services,0.0,824789663
3092,0,0,1,1,10.0,60.0,14.196491698380871,73,50,open,'09134000,0,37.0,23-146265,1,2023_October,Supplies,0.3333333333333333,255003063
3093,1,0,1,1,10.0,60.0,12.974327298576924,73,50,open,'09134000,0,37.0,23-146265,1,2023_October,Supplies,0.3333333333333333,255003063
3094,0,0,1,1,10.0,50.0,12.928353780815184,73,38,open,'34140000,0,29.0,23-146660,1,2023_October,Supplies,0.0,243800984
3095,0,0,1,1,10.0,50.0,13.1852198597074,73,38,open,'34144511,0,29.0,23-146660,1,2023_October,Supplies,0.0,243800984
3096,1,0,0,0,0.0,40.0,12.793859310432293,72,50,open,'79822000,1,36.0,23-146748,0,2023_October,Services,0.8333333333333334,200056844
